Grade,Selection_Date,Match_Date,Sport,League,Home_Team,Away_Team,Market,Selection,Pinnacle,Pinn_Limit,game_id
A,2002-10-25,2/15/25,Paraguay,Primera Division,Nacional Asuncion,Guarani,1x2,Guarani,180,,
A,2002-10-25,2/15/25,Paraguay,Primera Division,Nacional Asuncion,Guarani,DNB,Guarani,-106,,
A,2002-10-25,2/15/25,Paraguay,Primera Division,Nacional Asuncion,Guarani,1H 1x2,Guarani,255,,
A,2002-10-25,2/15/25,Paraguay,Primera Division,Nacional Asuncion,Guarani,1H DNB,Guarani,-109,,
A,2002-11-25,2/15/25,Paraguay,Primera Division,Libertad Asuncion,Ameliano,1x2,Libertad Asuncion,-117,,
A,2002-11-25,2/15/25,Paraguay,Primera Division,Libertad Asuncion,Ameliano,DNB,Libertad Asuncion,-301,,
A,2002-11-25,2/15/25,Paraguay,Primera Division,Libertad Asuncion,Ameliano,1H 1x2,Libertad Asuncion,158,,
Delta-35,2002-11-25,2/16/25,Soccer,Ecuador - Liga Pro,Emelec,U Catolica de Ecuador,Moneyline,U Catolica de Ecuador,184,,
Delta-35,2002-11-25,2/16/25,Soccer,Ecuador - Liga Pro,Emelec,U Catolica de Ecuador,Asian,U Catolica de Ecuador -0.25,144,,
Delta-35,2002-11-25,2/16/25,Soccer,Ecuador - Liga Pro,Emelec,U Catolica de Ecuador,Draw No Bet,U Catolica de Ecuador,102,,
Delta-35,2002-11-25,2/16/25,Soccer,Ecuador - Liga Pro,Emelec,U Catolica de Ecuador,Asian,U Catolica de Ecuador +0.25,-145,,
Delta-35,2002-11-25,2/16/25,Soccer,Ecuador - Liga Pro,Emelec,U Catolica de Ecuador,Double Chance,U Catolica de Ecuador,-196,,
Delta-35,2002-11-25,2/16/25,Soccer,Ecuador - Liga Pro,Emelec,U Catolica de Ecuador,Asian,U Catolica de Ecuador +0.75,-278,,
Delta-35,2002-11-25,2002-12-25,Soccer,Colombia - Primera A,Independiente Santa Fe SA,Club Atlético Nacional SA,Goal Spread,Club Atlético Nacional SA -1.5,,,202502134C8B7AEB
Delta-35,2002-11-25,2002-12-25,Soccer,Colombia - Primera A,Independiente Santa Fe SA,Club Atlético Nacional SA,Asian Handicap,Club Atlético Nacional SA -1.5,,,202502134C8B7AEB
Delta-35,2002-11-25,2002-12-25,Soccer,Colombia - Primera A,Independiente Santa Fe SA,Club Atlético Nacional SA,Asian Handicap,Club Atlético Nacional SA -1.25,,,202502134C8B7AEB
Delta-35,2002-11-25,2002-12-25,Soccer,Colombia - Primera A,Independiente Santa Fe SA,Club Atlético Nacional SA,Goal Spread,Club Atlético Nacional SA -1,379,$400 ,202502134C8B7AEB
Delta-35,2002-11-25,2002-12-25,Soccer,Colombia - Primera A,Independiente Santa Fe SA,Club Atlético Nacional SA,Asian Handicap,Club Atlético Nacional SA -1,,,202502134C8B7AEB
Delta-35,2002-11-25,2002-12-25,Soccer,Colombia - Primera A,Independiente Santa Fe SA,Club Atlético Nacional SA,Asian Handicap,Club Atlético Nacional SA -0.75,226,$400 ,202502134C8B7AEB
