Grade,Selection_Date,Match_Date,Sport,League,Home_Team,Away_Team,Market,Selection,Orginator_Price,Current_Price,Min_Price,Pinnacle,Betrivers,FanDuel,Draftkings,Caesars,BetMGM,Betonline,BetUS,Hard_Rock,ESPN_BET,Fanatics,Bet365,Bovada,MyBookie,Betano,(___),updated_at,game_id,Selection_ID,Identifier,Parent_ID,Active_Selection,Notes,Colour_coding
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,1x2,Edinburgh City,4.45,4.45,345,345,,,,,,,,,,,,,,,,,,ScotlandLeague 2Forfar AthleticEdinburgh City,2025-02-08Forfar AthleticEdinburgh City1x2Edinburgh City,League 2Forfar AthleticEdinburgh City,,,1
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,DNB,Edinburgh City,3.3,3.3,230,234,,,,,,,,,,,,,,,,,,ScotlandLeague 2Forfar AthleticEdinburgh City,2025-02-08Forfar AthleticEdinburgh CityDNBEdinburgh City,League 2Forfar AthleticEdinburgh City,,,1
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,DC,Edinburgh City,2.05,2.05,105,108,,,,,,,,,,,,,,,,,,ScotlandLeague 2Forfar AthleticEdinburgh City,2025-02-08Forfar AthleticEdinburgh CityDCEdinburgh City,League 2Forfar AthleticEdinburgh City,,,1
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,1H DNB,Edinburgh City,,3,200,200,,,,,,,,,,,,,,,,,,ScotlandLeague 2Forfar AthleticEdinburgh City,2025-02-08Forfar AthleticEdinburgh City1H DNBEdinburgh City,League 2Forfar AthleticEdinburgh City,,,1
A,2002-06-25,2002-08-25,Scotland,League 2,Forfar Athletic,Edinburgh City,1H DC,Edinburgh City,,1.6,-167,-166,,,,,,,,,,,,,,,,,,ScotlandLeague 2Forfar AthleticEdinburgh City,2025-02-08Forfar AthleticEdinburgh City1H DCEdinburgh City,League 2Forfar AthleticEdinburgh City,,,1
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Asian Handicap,Hume City +0.25,,1.74,-135,,,,,,,,,,,,,,,,300,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityAsian HandicapHume City +0.25,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Double Chance,Hume City Or Draw,,,,,,,,,,,,,,,,,,,,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityDouble ChanceHume City Or Draw,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Asian Handicap,Hume City +0.5,,,,,,,,,,,,,,,,,,,,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityAsian HandicapHume City +0.5,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Goal Spread,Hume City +0.5,,,,,,,,,,,,,,,,,,,300,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityGoal SpreadHume City +0.5,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Draw No Bet,Hume City,,,,,,,,,,,,,,,,,,,,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityDraw No BetHume City,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Asian Handicap,Hume City +0,,,,,,,,,,,,,,,,,,,,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityAsian HandicapHume City +0,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Goal Spread,Hume City +0,,,,,,,,,,,,,,,,,,,300,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityGoal SpreadHume City +0,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Moneyline,Hume City,,,,,,,,,,,,,,,,,,,300,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityMoneylineHume City,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Asian Handicap,Hume City -0.5,,,,,,,,,,,,,,,,,,,,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityAsian HandicapHume City -0.5,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,Goal Spread,Hume City -0.5,,,,,,,,,,,,,,,,,,,300,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume CityGoal SpreadHume City -0.5,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,1st Half Moneyline,Hume City,,,,,,,,,,,,,,,,,,,100,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume City1st Half MoneylineHume City,Australia - Victoria NPLPreston Lions FCHume City,,,0
Israel,2002-06-25,2002-07-25,Soccer,Australia - Victoria NPL,Preston Lions FC,Hume City,1st Half Asian Handicap,Hume City -0.5,,,,,,,,,,,,,,,,,,,,,2025020724FC807C,SoccerAustralia - Victoria NPLPreston Lions FCHume City,2025-02-07Preston Lions FCHume City1st Half Asian HandicapHume City -0.5,Australia - Victoria NPLPreston Lions FCHume City,,,0
